"","X","Year","Age","Female","Male","Total"
"4754",4754,2001,91,0.268607091603464,0.290686395069181,0.284149
"4755",4755,2001,92,0.274423791223472,0.299642329853651,0.312484
"4756",4756,2001,93,0.290708888979192,0.31941947818407,0.338358
"4757",4757,2001,94,0.309918131302479,0.341958536165778,0.364261
"4758",4758,2001,95,0.319634154383717,0.348474473256632,0.374973
"4759",4759,2001,96,0.334292799615073,0.367646397517129,0.396961
"4760",4760,2001,97,0.342598815794459,0.329087565078414,0.408443
"4761",4761,2001,98,0.349278737543373,0.330170915253895,0.408143
"4762",4762,2001,99,0.420322587956611,0.415935229503576,0.455243
"4763",4763,2001,100,0.413906503846292,0.415238264490499,0.537931
"4764",4764,2001,101,0.450458791365524,0.432821607598657,0.567197
"4765",4765,2001,102,0.49455072045131,0.484843415606221,0.59602
"4766",4766,2001,103,0.472700056980607,0.484423015301086,0.622733
"4767",4767,2001,104,0.503600392738788,0.492143903061225,0.654113
"4768",4768,2001,105,0.516423863265014,0.535730380162703,0.687328
"4769",4769,2001,106,0.550259909887264,0.636549222477064,0.730579
"4770",4770,2001,107,NA,6.699071562,0.793901
"4771",4771,2001,108,NA,NA,0.887615
"4772",4772,2001,109,NA,NA,0.965558
"4773",4773,2001,110,1.742287,NA,1.742287
"4774",4774,2002,0,0.0068783472606699,0.00903207672706552,0.014158
"4775",4775,2002,1,0.0009645423449697,0.00118174217588341,0.001329
"4776",4776,2002,2,0.000640723804401466,0.000897817373950658,0.000818
"4777",4777,2002,3,0.000531098890166966,0.000732817934136832,0.000691
"4778",4778,2002,4,0.000491109783394391,0.000593886397651122,0.000591
"4779",4779,2002,5,0.000390271383710262,0.000510955553853961,0.000474
"4780",4780,2002,6,0.000312096276190177,0.000518563057316624,0.000425
"4781",4781,2002,7,0.000284867252617004,0.000506006780612623,0.000408
"4782",4782,2002,8,0.000310343534168442,0.000515108335710968,0.000394
"4783",4783,2002,9,0.000287605748032725,0.000499013669245196,0.000401
"4784",4784,2002,10,0.000301321678976604,0.000514081780786979,0.000393
"4785",4785,2002,11,0.000307173935196103,0.000503980667582847,0.000416
